DATE,BAA,AAA,PCE
1/1/1919,7.245,5.4875,577.9
1/1/1920,8.204166667,6.120833333,498.6166667
1/1/1921,8.353333333,5.969166667,559.9333333
1/1/1922,7.080833333,5.104166667,596.5833333
1/1/1923,7.244166667,5.116666667,586.05
1/1/1924,6.8325,5.004166667,583.625
1/1/1925,6.265,4.876666667,569.4416667
1/1/1926,5.870833333,4.730833333,564.5416667
1/1/1927,5.480833333,4.57,575.975
1/1/1928,5.484166667,4.546666667,582.225
1/1/1929,5.901666667,4.725,582.7
1/1/1930,5.899166667,4.546666667,598.2
1/1/1931,7.6225,4.5775,658.0083333
1/1/1932,9.203333333,5.006666667,732.8333333
1/1/1933,7.758333333,4.489166667,773.225
1/1/1934,6.320833333,4.003333333,746.975
1/1/1935,5.751666667,3.6025,727.9666667
1/1/1936,4.766666667,3.235833333,720.9416667
1/1/1937,5.030833333,3.263333333,695.225
1/1/1938,5.7975,3.1925,709.25
1/1/1939,4.960833333,3.005833333,718.425
1/1/1940,4.749166667,2.840833333,713.05
1/1/1941,4.3275,2.7675,679.9333333
1/1/1942,4.279166667,2.825833333,612.925
1/1/1943,3.91,2.73,577.35
1/1/1944,3.610833333,2.724166667,568.125
1/1/1945,3.285833333,2.623333333,555.5666667
1/1/1946,3.046666667,2.526666667,514.1916667
1/1/1947,3.235833333,2.610833333,447.7333333
1/1/1948,3.465833333,2.816666667,415.525
1/1/1949,3.416666667,2.66,419.65
1/1/1950,3.24,2.6225,415.375
1/1/1951,3.413333333,2.86,384.7666667
1/1/1952,3.519166667,2.955833333,376.075
1/1/1953,3.733333333,3.199166667,373.225
1/1/1954,3.506666667,2.900833333,371.875
1/1/1955,3.53,3.0525,372.8
1/1/1956,3.8775,3.364166667,367.475
1/1/1957,4.714166667,3.885,355.3666667
1/1/1958,4.726666667,3.7875,345.925
1/1/1959,5.053333333,4.381666667,342.725
1/1/1960,5.189166667,4.41,337.65
1/1/1961,5.075,4.35,334.1
1/1/1962,5.02,4.325,330.225
1/1/1963,4.855833333,4.259166667,326.125
1/1/1964,4.828333333,4.405833333,321.875
1/1/1965,4.865833333,4.493333333,316.85
1/1/1966,5.665,5.13,307.675
1/1/1967,6.228333333,5.506666667,299.375
1/1/1968,6.935833333,6.175,287.325
1/1/1969,7.813333333,7.029166667,272.525
1/1/1970,9.105,8.04,257.4
1/1/1971,8.563333333,7.386666667,246.85
1/1/1972,8.155,7.213333333,238.95
1/1/1973,8.240833333,7.440833333,225.0666667
1/1/1974,9.496666667,8.565833333,202.825
1/1/1975,10.61,8.825833333,185.725
1/1/1976,9.746666667,8.434166667,175.6
1/1/1977,8.969166667,8.024166667,164.9
1/1/1978,9.488333333,8.725,153.225
1/1/1979,10.69,9.629166667,137.8916667
1/1/1980,13.66833333,11.93833333,121.35
1/1/1981,16.04416667,14.17083333,109.925
1/1/1982,16.11333333,13.7875,103.5583333
1/1/1983,13.55416667,12.04166667,100.3
1/1/1984,14.19,12.70916667,96.225
1/1/1985,12.715,11.37333333,92.875
1/1/1986,10.39083333,9.020833333,91.15
1/1/1987,10.57583333,9.375833333,87.94166667
1/1/1988,10.83,9.71,84.56666667
1/1/1989,10.1775,9.2575,80.7
1/1/1990,10.355,9.321666667,76.575
1/1/1991,9.801666667,8.769166667,73.425
1/1/1992,8.976666667,8.14,71.28333333
1/1/1993,7.93,7.219166667,69.225
1/1/1994,8.6225,7.9625,67.475
1/1/1995,8.200833333,7.59,65.625
1/1/1996,8.054166667,7.37,63.775
1/1/1997,7.8625,7.261666667,62.29166667
1/1/1998,7.220833333,6.531666667,61.35833333
1/1/1999,7.870833333,7.041666667,60.03333333
1/1/2000,8.364166667,7.6225,58.08333333
1/1/2001,7.9475,7.0825,56.475
1/1/2002,7.801666667,6.491666667,55.60833333
1/1/2003,6.765833333,5.666666667,54.35833333
1/1/2004,6.393333333,5.628333333,52.95833333
1/1/2005,6.064166667,5.235,51.2
1/1/2006,6.479166667,5.5875,49.59166667
1/1/2007,6.4825,5.555833333,48.24166667
1/1/2008,7.446666667,5.631666667,46.45833333
1/1/2009,7.295833333,5.313333333,46.61666667
1/1/2010,6.038333333,4.943333333,45.85
1/1/2011,5.664166667,4.639166667,44.46666667
1/1/2012,4.935,3.673333333,43.55
1/1/2013,5.101666667,4.235,42.925
1/1/2014,4.854166667,4.1625,42.24166667
1/1/2015,4.999166667,3.886666667,42.2
1/1/2016,4.7175,3.665833333,41.66666667
1/1/2017,4.44,3.743333333,40.8
1/1/2018,4.8,3.93,39.825
1/1/2019,4.375,3.3875,39.10833333
1/1/2020,3.6025,2.476666667,38.64166667
